"行号","SKU","建议产品本体","建议方向Skill原子","建议商品标准化类型","建议是否待复核","建议待复核原因","风险提示补充","修正理由"
"34","2600196","气球配重吊环磁铁挂钩36pcs","派对庆典商品开发","标品","否","","","与第32行仅数量不同，仍为功能标品。"
"37","2600199","桃心吊坠项链","服饰饰品开发","非标","否","","猎魔女团主题授权和图案版权需核实。","项链过泛，应保留桃心吊坠结构；款号和主题不进入本体。"
"38","2600200","桃心吊坠项链","服饰饰品开发","非标","否","","猎魔女团主题授权和图案版权需核实。","与第37行仅款号或图案变体，应统一产品本体。"
"39","2600201","汽车脚垫固定贴卡扣","汽车功能配件开发","标品","否","","","卡扣过泛，丢失汽车脚垫固定用途和魔术贴结构。"
"40","2600202","爱心图钉","阅读文具与学习用品开发","非标","否","","","颜色和复古风格不应制造不同产品本体。"
"41","2600203","爱心图钉","阅读文具与学习用品开发","非标","否","","","与第40行是颜色组合变体，应统一本体。"
"42","2600204","爱心图钉","阅读文具与学习用品开发","非标","否","","","当前本体误丢黑色且形成残句，应与第40至41行统一。"
"43","2600205","首饰延长链双弹扣","DIY手工商品开发","标品","否","","","按材质、长度和扣型成交的功能性首饰配件，应判标品。"
"48","2600210","亚克力十字架小雕像","家居装饰商品开发","非标","否","","","尾部H是内部款号或变体，不应进入产品本体。"
"49","2600211","临时纹身贴","美妆装饰商品开发","非标","否","","猎魔女团授权及皮肤接触材料安全需核实。","贴纸过泛，未表达临时纹身的真实商品本体。"
"50","2600212","临时纹身贴","美妆装饰商品开发","非标","否","","猎魔女团授权、英文内容及皮肤接触材料安全需核实。","贴纸过泛，未表达临时纹身的真实商品本体。"
"51","2600213","临时纹身贴","美妆装饰商品开发","非标","否","","猎魔女团授权及皮肤接触材料安全需核实。","贴纸过泛，未表达临时纹身的真实商品本体。"
"54","2600216","长嘴多功能钓鱼钳","通用工具开发","标品","否","","","钓鱼是使用场景，商品本体是钳具。"
"58","2600220","购物车代币钥匙扣","通用工具开发","标品","否","","","钥匙扣过泛，丢失用于解锁购物车的功能代币属性。"
"59","2600221","电脑刺绣小花布贴","DIY手工商品开发","非标","否","","","数量清洗造成残句，型号颜色和数量应移入对应字段。"
"60","2600222","电脑刺绣小花布贴","DIY手工商品开发","非标","否","","","与第59行是型号数量变体，当前本体同样被残句污染。"
"66","2550373","零钱包","包袋与出行收纳开发","非标","否","","","苹果水果造型主导购买决策，应判非标。"
"68","2550375","磁扣解扣取钉器","通用工具开发","标品","否","","","解扣器和取钉器是拆卸作业工具，不是维修替换配件。"
"70","2550377","待确认","待确认开发方向","待复核","是","qq人不能可靠识别具体商品本体，需补图片或页面。","标题明确含《鬼灭之刃》IP，需核实授权。","商品本体不明，不能强行落入玩具方向。"
"71","2550378","卡通贴纸","DIY手工商品开发","非标","否","","《鬼灭之刃》贴纸授权需核实。","贴纸不能因角色主题误归玩具。"
"76","2550383","生日派对装饰用品套装","派对庆典商品开发","非标","否","","女团主题是否指向具体IP及套装图片版权需核实。","生日派对是场景，商品本体应为装饰用品套装。"
"77","2550384","卷装贴纸","DIY手工商品开发","非标","否","","卷卷贴具体形态及女团IP需核实。","贴纸被主题词带偏到玩具方向。"
"79","2550386","礼品袋","派对庆典商品开发","非标","否","","女团礼品袋的角色和图案授权需核实。","礼品包装袋不是出行收纳包袋，袋类词抢占了方向。"
"80","2550387","卡通贴纸","DIY手工商品开发","非标","否","","K-pop猎魔女团贴纸授权需核实。","贴纸因IP主题误入玩具方向。"
"81","2550388","临时纹身贴","美妆装饰商品开发","非标","否","","女团图案授权及皮肤接触材料安全需核实。","应以临时纹身贴为本体，不能让女团主题进入本体。"
"83","2550390","拼贴换脸贴","DIY手工商品开发","非标","否","","具体玩法、图案来源和女团IP需核实。","拼贴贴纸属于创作材料，不能由主题词推成玩具。"
"90","2550399","定制生日勋章","派对庆典商品开发","非标","否","","定制图片来源、IP和定制内容合规需核实。","采购指令不能进入产品本体。"
"92","2550401","快捷键鼠标垫","电子与手机功能配件开发","标品","否","","","鼠标垫是电脑功能配件，快捷键内容不使其成为阅读文具。"
"93","2255157","无法识别（供应商标签）","待确认开发方向","待复核","是","供应商标签，无有效商品本体；应排除或补回原商品标题。","","人名不是商品本体，不能贡献产品方向证据。"
"94","2255158","无法识别（供应商标签）","待确认开发方向","待复核","是","供应商标签，无有效商品本体；应排除或补回原商品标题。","","人名不是商品本体，不能贡献产品方向证据。"
"96","2560347","立体弹出式贺卡","阅读文具与学习用品开发","非标","否","","","贺卡是商品本体，情人节是场景和主题，不能抢占商品方向。"
"97","2560348","3D立体贺卡","阅读文具与学习用品开发","非标","否","","","爱情相框猫咪是卡片画面或结构主题，不是相框产品。"
"98","2560349","3D立体贺卡","阅读文具与学习用品开发","非标","否","","","与第97行相同，主题组件词误抢本体并带偏方向。"
"102","2560353","待确认","待确认开发方向","待复核","是","标志装饰无法确认是礼物标签、桌牌、挂饰还是摆件，需补图片或页面。","","情人节场景不足以强制归派对方向。"
