创建月份,开发人,SKU,创建时间,产品名称,采购价(CNY),是否组合主SKU,本地产品状态,开品状态,是否定制,是否多件/套装,主方向,产品族,主题,商品标准化类型,价值主导类型,标准化判定依据,标准化判定置信度,是否需要人工复核,风险标记,第一层判断,判断说明,产品族首次出现月份（开发人）,产品族最近出现月份（开发人）,产品族出现月份数（开发人）,产品族出现月份列表（开发人）,本月产品族状态
2025-04,蒋舒,2520016,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6966,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520017,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6967,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520018,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6968,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520019,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6969,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520020,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6970,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520021,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6971,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520022,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6972,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520023,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6973,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520024,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6974,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520025,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6975,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520026,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6976,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520027,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6977,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520028,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6978,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520029,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6979,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520030,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6980,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520031,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6981,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520032,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6982,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520033,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6983,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520034,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6984,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520035,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6985,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520036,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6986,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520037,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6987,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520038,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6988,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520039,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6989,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520040,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6990,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520041,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6991,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520042,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6992,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520043,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6993,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520044,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6994,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520045,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6995,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520046,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6996,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520047,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6997,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520048,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6998,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520049,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6999,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520050,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7000,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520051,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7001,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520052,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7002,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520053,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7003,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520054,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7004,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520055,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7005,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520056,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7006,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520057,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7007,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520058,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7008,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520059,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7009,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520060,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7010,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520061,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7011,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520062,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7012,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520063,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7013,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520064,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7014,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520065,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7015,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520066,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7016,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520067,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7017,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520068,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形7018,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
