创建月份,行号,SKU,建议产品本体,建议方向Skill原子,建议商品标准化类型,建议是否待复核,建议待复核原因,风险提示补充,修正理由,主审裁决说明
2025-10,33,2600195,气球配重吊环磁铁挂钩30pcs,派对庆典商品开发,标品,否,,,与第32行仅数量不同，仍为功能标品。,
2025-10,34,2600196,气球配重吊环磁铁挂钩36pcs,派对庆典商品开发,标品,否,,,与第32行仅数量不同，仍为功能标品。,
2025-10,37,2600199,桃心吊坠项链,服饰饰品开发,非标,否,,猎魔女团主题授权和图案版权需核实。,项链过泛，应保留桃心吊坠结构；款号和主题不进入本体。,
2025-10,38,2600200,桃心吊坠项链,服饰饰品开发,非标,否,,猎魔女团主题授权和图案版权需核实。,与第37行仅款号或图案变体，应统一产品本体。,
2025-10,39,2600201,汽车脚垫固定贴卡扣,汽车功能配件开发,标品,否,,,卡扣过泛，丢失汽车脚垫固定用途和魔术贴结构。,
2025-10,40,2600202,爱心图钉,阅读文具与学习用品开发,非标,否,,,颜色和复古风格不应制造不同产品本体。,
2025-10,41,2600203,爱心图钉,阅读文具与学习用品开发,非标,否,,,与第40行是颜色组合变体，应统一本体。,
2025-10,42,2600204,爱心图钉,阅读文具与学习用品开发,非标,否,,,当前本体误丢黑色且形成残句，应与第40至41行统一。,
2025-10,43,2600205,首饰延长链双弹扣,DIY手工商品开发,标品,否,,,按材质、长度和扣型成交的功能性首饰配件，应判标品。,
2025-10,48,2600210,亚克力十字架小雕像,家居装饰商品开发,非标,否,,,尾部H是内部款号或变体，不应进入产品本体。,
2025-10,49,2600211,临时纹身贴,美妆装饰商品开发,非标,否,,猎魔女团授权及皮肤接触材料安全需核实。,贴纸过泛，未表达临时纹身的真实商品本体。,
2025-10,50,2600212,临时纹身贴,美妆装饰商品开发,非标,否,,猎魔女团授权、英文内容及皮肤接触材料安全需核实。,贴纸过泛，未表达临时纹身的真实商品本体。,
2025-10,51,2600213,临时纹身贴,美妆装饰商品开发,非标,否,,猎魔女团授权及皮肤接触材料安全需核实。,贴纸过泛，未表达临时纹身的真实商品本体。,
2025-10,54,2600216,长嘴多功能钓鱼钳,通用工具开发,标品,否,,,钓鱼是使用场景，商品本体是钳具。,
2025-10,58,2600220,购物车代币钥匙扣,通用工具开发,标品,否,,,钥匙扣过泛，丢失用于解锁购物车的功能代币属性。,
2025-10,59,2600221,电脑刺绣小花布贴,DIY手工商品开发,非标,否,,,数量清洗造成残句，型号颜色和数量应移入对应字段。,
2025-10,60,2600222,电脑刺绣小花布贴,DIY手工商品开发,非标,否,,,与第59行是型号数量变体，当前本体同样被残句污染。,
2025-10,66,2550373,零钱包,包袋与出行收纳开发,非标,否,,,苹果水果造型主导购买决策，应判非标。,
2025-10,68,2550375,磁扣解扣取钉器,通用工具开发,标品,否,,,解扣器和取钉器是拆卸作业工具，不是维修替换配件。,
2025-10,70,2550377,Q版角色收藏人偶,玩具娱乐商品开发,非标,否,qq人不能可靠识别具体商品本体，需补图片或页面。,标题明确含《鬼灭之刃》IP，需核实授权。；鬼灭之刃IP/授权复核,商品本体不明，不能强行落入玩具方向。,“qq人”在商品语境中可识别为Q版角色人偶；IP风险单列，不因风险退出第一层证据。
2025-10,71,2550378,卡通贴纸,DIY手工商品开发,非标,否,,《鬼灭之刃》贴纸授权需核实。,贴纸不能因角色主题误归玩具。,
2025-10,76,2550383,生日派对装饰用品套装,派对庆典商品开发,非标,否,,女团主题是否指向具体IP及套装图片版权需核实。,生日派对是场景，商品本体应为装饰用品套装。,
2025-10,77,2550384,卷装贴纸,DIY手工商品开发,非标,否,,卷卷贴具体形态及女团IP需核实。,贴纸被主题词带偏到玩具方向。,
2025-10,79,2550386,礼品袋,派对庆典商品开发,非标,否,,女团礼品袋的角色和图案授权需核实。,礼品包装袋不是出行收纳包袋，袋类词抢占了方向。,
2025-10,80,2550387,卡通贴纸,DIY手工商品开发,非标,否,,K-pop猎魔女团贴纸授权需核实。,贴纸因IP主题误入玩具方向。,
2025-10,81,2550388,临时纹身贴,美妆装饰商品开发,非标,否,,女团图案授权及皮肤接触材料安全需核实。,应以临时纹身贴为本体，不能让女团主题进入本体。,
2025-10,83,2550390,拼贴换脸贴,DIY手工商品开发,非标,否,,具体玩法、图案来源和女团IP需核实。,拼贴贴纸属于创作材料，不能由主题词推成玩具。,
2025-10,90,2550399,定制生日勋章,派对庆典商品开发,非标,否,,定制图片来源、IP和定制内容合规需核实。,采购指令不能进入产品本体。,
2025-10,92,2550401,快捷键鼠标垫,电子与手机功能配件开发,标品,否,,,鼠标垫是电脑功能配件，快捷键内容不使其成为阅读文具。,
2025-10,93,2255157,无法识别（供应商标签）,待确认开发方向,待复核,是,供应商标签，无有效商品本体；应排除或补回原商品标题。,,人名不是商品本体，不能贡献产品方向证据。,
2025-10,94,2255158,无法识别（供应商标签）,待确认开发方向,待复核,是,供应商标签，无有效商品本体；应排除或补回原商品标题。,,人名不是商品本体，不能贡献产品方向证据。,
2025-10,96,2560347,立体弹出式贺卡,阅读文具与学习用品开发,非标,否,,,贺卡是商品本体，情人节是场景和主题，不能抢占商品方向。,
2025-10,97,2560348,3D立体贺卡,阅读文具与学习用品开发,非标,否,,,爱情相框猫咪是卡片画面或结构主题，不是相框产品。,
2025-10,98,2560349,3D立体贺卡,阅读文具与学习用品开发,非标,否,,,与第97行相同，主题组件词误抢本体并带偏方向。,
2025-10,102,2560353,待确认,待确认开发方向,待复核,是,标志装饰无法确认是礼物标签、桌牌、挂饰还是摆件，需补图片或页面。,,情人节场景不足以强制归派对方向。,
2025-10,103,2560354,陶瓷情侣摆件,家居装饰商品开发,非标,否,,,产品本体混入礼赠场景、颜色和采购改价备注；场景不是本体,
2025-10,104,2560355,陶瓷情侣摆件,家居装饰商品开发,非标,否,,,产品本体混入礼赠场景、颜色和采购改价备注；场景不是本体,
2025-10,108,2560359,2026新年横幅插牌气球派对装饰套装,派对庆典商品开发,非标,否,,,当前本体在组件列表中途截断，不能稳定聚合产品方案,
2025-10,115,2560366,情人节不锈钢钥匙扣,服饰饰品开发,非标,否,,不锈钢材质声明复核,情人礼物是购买场景，不应把钥匙扣本体推入派对庆典方向,
2025-10,117,2560368,情人节爱心红唇纹身贴,美妆装饰商品开发,非标,否,,身体接触材料及纹身贴合规复核,当前本体漏掉原始标题的红字，主题事实不完整,
2025-10,118,2560369,粉色爱心水晶摆件,家居装饰商品开发,非标,否,,,绒布袋和礼盒是包装或礼赠组件，不能抢占水晶摆件本体,
2025-10,119,2560370,紫色爱心水晶摆件,家居装饰商品开发,非标,否,,,绒布袋和礼盒是包装或礼赠组件，不能抢占水晶摆件本体,
2025-10,120,2560371,复古情人节吊饰/挂饰,派对庆典商品开发,非标,否,,,打包说明误入产品本体,
2025-10,121,2560372,情人节爱情刮刮卡,派对庆典商品开发,非标,否,,,贴纸只是刮刮卡套装的组件，当前发生组件词抢占本体,
2025-10,124,2560375,生日抽钱盒/现金礼物盒,派对庆典商品开发,非标,否,,,适合任何年龄段是人群描述，不属于产品本体,
2025-10,127,2560378,双向导向梳,美妆个护功能商品开发,标品,否,,规格适配复核,这是剃须或理容设备的导向梳，真实用途优先于替换配件泛类，并应与第126行同类,
2025-10,128,2560379,干发卷发睡眠帽,美妆个护功能商品开发,标品,否,,身体接触材质复核,主价值是干发、卷发和头发护理，不是一般服饰穿戴,
2025-10,129,2560380,假发网/睡帽,服饰功能配件开发,标品,否,,身体接触材质复核,手工编织描述制造结构，不表示消费者DIY；当前被场景词误导方向和标品属性,
2025-10,135,2600228,S925弹簧扣/8字扣,DIY手工商品开发,标品,否,,S925材质标识复核,单个价是采购计价信息，不属于产品本体,
2025-10,146,2600239,2026新年黑金背景布,派对庆典商品开发,非标,否,,,当前本体漏掉黑字并混入型号和材质，改变了主题事实,
2025-10,147,2600240,金属按扣/子母扣,DIY手工商品开发,标品,否,,,供应商打包和费用备注不属于产品本体,
2025-10,155,2600248,针具磁力收纳器（磁性针吸）,DIY手工商品开发,标品,否,,带磁履约及包装复核,胸针是佩戴结构，主商品是用于针具收纳的磁性针吸；当前发生形态词抢占本体,
2025-10,157,2600250,2026春节新年红包,派对庆典商品开发,非标,否,,,当前本体漏掉红字，导致红包变成宽泛新年包,
2025-10,163,2550405,心形饼干模具,厨房餐饮功能商品开发,标品,否,,食品接触材料复核,商品本体是烘焙模具；爱心和花边是造型主题，不能把厨房工具推入玩具方向,饼干模具的购买主因是烘焙成型功能，爱心造型属于主题差异化。
2025-10,166,2550408,生肖马（具体商品形态不明）,待确认开发方向,待复核,是,标题只有节日主题和生肖形象，未说明真实商品载体,,不能用新年场景强制确定方向,
2025-10,169,2550411,未识别（企鹅情侣英文款具体载体不明）,待确认开发方向,待复核,是,标题只有礼赠场景和主题款式，未说明真实商品载体,主题图案及文字IP复核,情人节礼物是场景，企鹅情侣英文是主题或款式，均不能替代产品本体,
2025-10,179,2550421,情人节主题吸管,厨房餐饮功能商品开发,标品,否,,食品接触材料复核；食品接触材质与目标站点合规复核,商品本体是饮用吸管；情人节只是主题或场景，不能覆盖厨房餐饮方向,吸管是功能型餐饮用品；情人节仅是主题和售卖场景。
2025-10,194,2255168,充气篝火派对布景,派对庆典商品开发,非标,否,标题未说明是派对布景、家居装饰、露营道具还是儿童玩具,材质、阻燃和儿童接触风险复核,无法只凭充气篝火外形确定唯一方向,标题已经明确商品本体“充气篝火”，按派对布景处理；用途不明不等于本体不明。
2025-10,199,2560385,蜡烛灯芯中心定位工具,DIY手工商品开发,标品,否,,,这是制蜡专用手工工具；专用工具应按真实DIY用途归类，不应落入通用作业工具,
2025-10,201,2560387,JPC-12/PAC-12专用地网盘,功能维修配件开发,标品,否,标题未说明设备类别、功能和适配关系,规格适配复核；JPC-12/PAC-12设备类型、接口和规格适配复核,需补充页面或图片确认，避免把未知专用品强行沉淀为正式方向证据,标题明确为专用适配配件，可进入功能维修方向；未知设备类别作为适配风险，不是标题分类缺失。
2025-10,205,2560391,电动高铁仿真模型,玩具娱乐商品开发,非标,否,,,儿童是适用人群，不是商品本体,
2025-10,206,2560392,四合一菱形美甲猫眼磁铁棒,美妆个护功能商品开发,标品,否,,,数量不能写入产品本体,
2025-10,208,2560394,双模式不锈钢可旋转水龙头延伸器套件,功能维修配件开发,标品,否,,,英文彩盒包装不是商品本体，也不是主题,
2025-10,209,2560395,蛋糕装饰摆件套装,派对庆典商品开发,非标,否,,,农场动物是主题元素，不应占据产品本体,
2025-10,211,2560397,魔法棒手杖/角色造型道具,服饰饰品开发,非标,否,,,派对是使用场景，真实本体是角色造型道具,
2025-10,213,2560399,车载LED电子表,汽车功能配件开发,标品,否,,,原核心功能手工创作错误，应为车内时间显示和夜光查看,
2025-10,214,2560400,耳穴贴,健康护理与康复辅助开发,标品,否,,,数量和透明规格应进入数量或规格字段,
2025-10,215,2560401,直型牙缝刷/齿间刷,健康护理与康复辅助开发,标品,否,,,数量不能写入产品本体,
2025-10,216,2560402,脸部纹身贴,美妆装饰商品开发,非标,否,,,数量和豹纹主题应与产品本体分离,
2025-10,217,2560403,装饰摆件,家居装饰商品开发,非标,否,,,高地牛是主题，友谊礼物是购买场景,
2025-10,218,2600254,纹身贴,美妆装饰商品开发,非标,否,,猎魔女团IP/授权复核,数量、IP主题和型号不是产品本体,
2025-10,220,2600256,刺绣布贴,DIY手工商品开发,非标,否,,,数量和玫瑰图案主题应与本体分离,
2025-10,221,2600257,鱼缸外置过滤器套装,宠物用品开发,标品,否,,,数量不能写入产品本体,
2025-10,222,2600258,宠物洗澡刷,宠物用品开发,标品,否,,,小号属于规格,
2025-10,223,2600259,门挡,家居收纳与防护商品开发,标品,否,,,数量、颜色和备注不是产品本体,
2025-10,224,2600260,垃圾袋收纳架,家居收纳与防护商品开发,标品,否,,,数量不能写入产品本体,
2025-10,225,2600261,宠物装扮套装,宠物用品开发,非标,否,,,生日是场景主题，商品本体是宠物装扮套装,
2025-10,226,2600262,宠物装扮套装,宠物用品开发,非标,否,,,与225行同物同名，生日是场景主题,
2025-10,227,2600263,派对气球,派对庆典商品开发,非标,否,,,数量、公主和生日属于组合、主题与场景字段,
2025-10,228,2600264,免缝纽扣,服饰功能配件开发,标品,否,,,免缝纽扣是服装固定替换件，DIY场景不能抢占方向,
2025-10,229,2600265,万用表双头鳄鱼夹测试线,通用工具开发,标品,否,,电气安全/额定电压电流复核,万用表测试线是测量作业附件，不是手机或消费电子配件,
2025-10,231,2600267,带盖义齿盒,健康护理与康复辅助开发,标品,否,,,数量不能写入产品本体,
2025-10,232,2600268,性别揭示气球套装,派对庆典商品开发,非标,否,,,婴儿是派对主题对象，真实场景是性别揭示或迎婴派对,
2025-10,234,2600271,生日横幅,派对庆典商品开发,非标,否,,,英文祝福文案是主题内容，不是产品本体,
2025-10,236,2600273,橱柜抽屉拉手,功能维修配件开发,标品,否,,,拉手是安装替换五金，不是收纳器或防护品,
2025-10,237,2600274,汽车挂饰,家居装饰商品开发,非标,否,,,恶魔之眼是主题；汽车是悬挂场景而非汽车功能方向,
2025-10,238,2600269,生日派对装饰套装,派对庆典商品开发,非标,否,,,生日帽只是套装组件，不能抢占组合产品本体,
2025-10,239,2550427,EDC磁性旋转啪啪币,玩具娱乐商品开发,非标,否,,,数量不能写入产品本体,
2025-10,240,2550428,生日闪光横幅,派对庆典商品开发,非标,否,,,18岁和祝福文案属于主题字段,
2025-10,242,2550430,鲜花花束包装,派对庆典商品开发,非标,否,,,情人节属于季节和场景字段,
2025-10,243,2550431,礼物盒,派对庆典商品开发,非标,否,,,情人节主题与产品本体应分层,
2025-10,244,2550432,礼物盒,派对庆典商品开发,非标,否,,,与243行同物同名，情人节主题与本体分层,
2025-10,245,2550433,佩戴式花束夹,服饰饰品开发,非标,否,,,数量不能写入产品本体,
2025-10,246,2550434,手链,服饰饰品开发,非标,否,,,标题是成品手链，不是DIY材料；串珠只是结构词,
2025-10,247,2550435,手链,服饰饰品开发,非标,否,,女团周边疑似IP/品牌授权复核,本体和方向明确，但周边主题存在授权风险,
2025-10,248,2550436,手链,服饰饰品开发,非标,否,,沙加boy疑似角色/品牌词复核,疑似角色或品牌称谓应核验授权,
2025-10,249,2550446,收藏硬币,玩具娱乐商品开发,非标,否,,,数量、骷髅头和乌鸦主题不应占据本体,
2025-10,250,2550447,换装涂色贴纸本,DIY手工商品开发,非标,否,,,贴纸过于宽泛，标题已给出具体商品形态,
2025-10,251,2550437,生日派对装饰套装,派对庆典商品开发,非标,否,,,警示牌是套装主题造型，不是独立商品方向,
2025-10,252,2550438,生日气球,派对庆典商品开发,非标,否,,,数量和年龄主题不应进入产品本体,
2025-10,253,2550439,生日派对装饰套装,派对庆典商品开发,非标,否,,,拉旗和吊饰共同构成组合方案，不能用组件拼接代替组合本体,
2025-10,255,2550441,发饰套装,服饰饰品开发,非标,否,,,数量不能写入产品本体,
2025-10,256,2550442,床单固定器,家居收纳与防护商品开发,标品,否,,,数量不能写入产品本体,
2025-10,257,2550443,美甲钻套装,美妆装饰商品开发,非标,否,,,盒数和格数属于规格与组合字段,
2025-10,258,2550444,美甲水钻套装,美妆装饰商品开发,非标,否,,,节日、颜色和异形造型属于主题与规格字段,
2025-10,259,2550445,电钻转角磨机转换杆套装,通用工具开发,标品,否,,,该商品直接承担角磨作业转换功能，属于作业工具套件,
2025-10,261,2255171,待确认产品本体,待确认开发方向,待复核,是,标题只有图案、款式和张数，缺少商品名词,,不能靠相邻记录臆造为纹身贴、贴钻或普通贴纸,
2025-10,262,2255172,钥匙扣,服饰饰品开发,非标,否,,猎魔女团IP/授权复核,IP主题不改变钥匙扣方向，但必须单列授权风险,
2025-10,263,2255173,钥匙扣,服饰饰品开发,非标,否,,猎魔女团IP/授权复核,IP主题不改变钥匙扣方向，但必须单列授权风险,
2025-10,264,2255174,A6线圈笔记本,阅读文具与学习用品开发,非标,否,,猎魔女团IP/授权复核,IP、尺寸和款号应与产品本体分层,
2025-10,265,2255175,A6线圈笔记本,阅读文具与学习用品开发,非标,否,,猎魔女团IP/授权复核,同产品不同款式，应同物同名并单列IP风险,
2025-10,266,2255176,A6线圈笔记本,阅读文具与学习用品开发,非标,否,,猎魔女团IP/授权复核,同产品不同款式，应同物同名并单列IP风险,
2025-10,267,2255177,A6线圈笔记本,阅读文具与学习用品开发,非标,否,,猎魔女团IP/授权复核,同产品不同款式，应同物同名并单列IP风险,
2025-10,268,2255178,A6线圈笔记本,阅读文具与学习用品开发,非标,否,,猎魔女团IP/授权复核,同产品不同款式，应同物同名并单列IP风险,
2025-10,269,2560404,树脂装饰摆件,家居装饰商品开发,非标,否,,,数量、备注、夜光和小动物主题应与本体分层,
2025-10,270,2560405,网球拍记分器,户外运动商品开发,标品,否,,,数量不能写入产品本体,
2025-10,271,2560406,智力解扣套装,玩具娱乐商品开发,非标,否,,,件数属于组合字段,
2025-10,272,2560407,美甲磁铁套装,美妆个护功能商品开发,标品,否,,,数量不能写入产品本体,
2025-10,273,2560408,美甲猫眼磁铁工具套件,美妆个护功能商品开发,标品,否,,,数量不能写入产品本体,
2025-10,274,2560409,美甲猫眼磁铁套件,美妆个护功能商品开发,标品,否,,,数量不能写入产品本体,
2025-10,276,2560411,洗衣机排水管三通接头,功能维修配件开发,标品,否,,,接头过于宽泛，标题已给出适配对象和结构,
2025-10,278,2560413,红外线鼻部护理仪,健康护理与康复辅助开发,标品,否,,,便携和智能是卖点，鼻炎器功效化命名应规范为具体护理仪本体,
2025-10,279,2560414,亚克力生日蛋糕插牌,派对庆典商品开发,非标,否,,,数量和生日快乐文案不应进入产品本体,
2025-10,280,2560415,生日蛋糕装饰插牌,派对庆典商品开发,非标,否,,,数量和30岁年龄主题不应进入产品本体,
2025-10,281,2560416,汽车吊饰,家居装饰商品开发,非标,否,,,汽车是悬挂场景；数量和蝴蝶结主题与本体分离,
2025-10,284,2560419,钱包,包袋与出行收纳开发,非标,否,,猎魔女团IP/授权复核,强IP图案主导购买，不能因钱包收纳功能判为标品,
2025-10,285,2560420,钱包,包袋与出行收纳开发,非标,否,,猎魔女团IP/授权复核,与284行同产品不同款号，应采用一致判断,
2025-10,286,2560421,钱包,包袋与出行收纳开发,非标,否,,猎魔女团IP/授权复核,与284行同产品不同款号，应采用一致判断,
2025-10,288,2600275,银器抛光布,家居收纳与防护商品开发,标品,否,,,数量和尺寸属于规格字段,
2025-10,289,2600276,V脸加压绷带面罩,美妆个护功能商品开发,标品,否,,美容塑形功效复核,核心诉求是美容塑形护理，不是康复辅助；颜色与款式不是本体,
2025-10,290,2600277,玻璃瓶保护盖,家居收纳与防护商品开发,标品,否,,,数量和容量属于规格字段,
2025-10,291,2600278,纹身贴,美妆装饰商品开发,非标,否,,猎魔女团IP/授权复核,数量、IP主题和镭射工艺不应进入本体,
2025-10,292,2600279,单插座空白面板,功能维修配件开发,标品,否,,,数量不能写入产品本体,
2025-10,294,2600281,登山杖把手与螺母套装,户外运动商品开发,标品,否,,,配件过于宽泛，标题已明确真实组件,
2025-10,295,2600282,3D立体生日贺卡套装,派对庆典商品开发,非标,否,,,贺卡过宽，标题明确了立体结构和组合形态,
2025-10,296,2600283,3D立体生日贺卡,派对庆典商品开发,非标,否,,,GRANDSON是受赠人文案，不是产品本体,
2025-10,297,2600284,3D立体生日贺卡,派对庆典商品开发,非标,否,,,BROTHER是受赠人文案，应与296行同物同名,
2025-10,298,2600285,护士怀表,服饰功能配件开发,标品,否,,,数量不能写入产品本体,
2025-10,299,2600286,待确认产品本体,待确认开发方向,待复核,是,标题只有山海经主题和数量款式，缺少商品名词,,不能据主题臆造为公仔、摆件、卡片或贴纸,
2025-10,300,2600287,待确认产品本体,待确认开发方向,待复核,是,标题只有海洋动物主题和数量，缺少商品名词,,无法确认是模型、公仔、贴纸还是装饰件,
2025-10,302,2600289,笔记本,阅读文具与学习用品开发,非标,否,,,Magick Oils文案和款式7不是产品本体,
2025-10,303,2600290,汽车挂饰,家居装饰商品开发,非标,否,,,2D、复古、耶稣和款号属于主题规格，汽车是悬挂场景,
2025-10,304,2600291,汽车挂饰,家居装饰商品开发,非标,否,,,数量、主题和款号应与产品本体分层,
2025-10,305,2600292,待确认产品本体,待确认开发方向,待复核,是,口袋拥抱无法唯一映射到商品本体，高尔夫只是主题,,不能确认是卡片、纪念币、摆件或其他商品,
2025-10,306,2600293,待确认产品本体,待确认开发方向,待复核,是,与305行同方案，数量信息仍不能确认商品本体,,增加2pcs仍未补足商品名词，应与305行一起补图确认,
